,TIMESTAMP,AMOUNT,PRICE,SIDE,ORDERID,LIST,OFFLOAD,ORDERSRCID
64,1718824609872,0.0019,0.05473684210526316,buy,4005498794,WAIT_BUY,False,0
65,1718824806769,0.0019,0.054726315789473685,buy,4005501173,WAIT_BUY,False,0
66,1718824916995,0.0019,0.05471578947368421,buy,4005502538,WAIT_BUY,False,0
67,1718824939864,0.0019,0.0547,buy,4005503362,WAIT_BUY,False,0
68,1718824964285,0.0019,0.054705263157894736,buy,4005503656,WAIT_BUY,False,0
69,1718825031944,0.0019,0.054689473684210524,buy,4005504537,WAIT_BUY,False,0
70,1718826675130,0.0019,0.05467894736842105,buy,4005526378,WAIT_BUY,False,0
71,1718827162051,0.0019,0.05466842105263158,buy,4005529381,WAIT_BUY,False,0
72,1718827177955,0.0019,0.05465789473684211,buy,4005529635,WAIT_BUY,False,0
73,1718827217244,0.0019,0.05464736842105263,buy,4005530249,WAIT_BUY,False,0
74,1718827223579,0.0019,0.05481,sell,4005530293,SELL_PROFIT,True,4005530249
75,1718827184307,0.0019,0.05482,sell,4005529661,SELL_PROFIT,True,4005529635
76,1718827168834,0.0019,0.05483,sell,4005529490,SELL_PROFIT,True,4005529381
77,1718826681711,0.0019,0.05484,sell,4005526560,SELL_PROFIT,True,4005526378
78,1718825038282,0.0019,0.05485,sell,4005504949,SELL_PROFIT,True,4005504537
79,1718824946886,0.0019,0.05486,sell,4005503453,SELL_PROFIT,True,4005503362
80,1718824970608,0.0019,0.05487,sell,4005503708,SELL_PROFIT,True,4005503656
81,1718824923328,0.0019,0.05488,sell,4005502576,SELL_PROFIT,True,4005502538
82,1718824813113,0.0019,0.05489,sell,4005501253,SELL_PROFIT,True,4005501173
83,1718824616418,0.0019,0.0549,sell,4005498887,SELL_PROFIT,True,4005498794
84,1718820099409,0.0019,0.05492,sell,4005479413,SELL_PROFIT,True,4005451783
85,1718820144907,0.0019,0.05492,sell,4005479438,SELL_PROFIT,True,4005452173
86,1718820076287,0.0019,0.05493,sell,4005451650,SELL_PROFIT,True,4005451529
87,1718820792565,0.0019,0.05494,sell,4005457908,SELL_PROFIT,True,4005457761
88,1718820739734,0.0019,0.05495,sell,4005457182,SELL_PROFIT,True,4005457004
89,1718821623332,0.0019,0.05496,sell,4005466506,SELL_PROFIT,True,4005466446
90,1718818160938,0.0019,0.05497,sell,4005426033,SELL_PROFIT,True,4005425985
91,1718817240803,0.0019,0.05498,sell,4005418335,SELL_PROFIT,True,4005391637
92,1718818131732,0.0019,0.05498,sell,4005425653,SELL_PROFIT,True,4005425593
93,1718817575483,0.0019,0.055,sell,4005409039,SELL_PROFIT,True,4005400835
94,1718817671197,0.0019,0.05502,sell,4005403662,SELL_PROFIT,True,4005403329
95,1718817647830,0.0019,0.05503,sell,4005402719,SELL_PROFIT,True,4005402368
96,1718817679223,0.0019,0.05503,sell,4005404000,SELL_PROFIT,True,4005403686
